Compnay,Exprience,Location,Job_Description,key_skill
Alstom Projects India Ltd.,3 - 6 yrs,Spain,"Leading societies to a low carbon future ,  Alstom develops and markets mobility solutions that provide the sustainable foundations for the future of transportation. Our produ... ","accounts reconciliation  ,  accountant  ,  accounting analyst  ,  accounting  ,  general ledger  ,  closing  ,  legal  ,  reporting  ,  accounts receivable  ,  erp  ,  balance sheet  ,  accounts payable  ,  sap  ,  tax  ,  reconciliation  ,  excel  ,  statutory  ,  accounts  ,  finance"
Textron India Pvt Ltd,0 - 3 yrs,,"JOB DUTIES:Textron Specialized Vehicles Inc. is a leading global manufacturer of golf cars ,  utility and personal transportation vehicles ,  snowmobiles ,  side-by-sides ,  a... ","accounting analyst  ,  internal control  ,  accounting  ,  closing  ,  trend analysis  ,  forecasting  ,  journal entries  ,  budgeting  ,  excel  ,  hyperion  ,  financial reporting  ,  tax reporting  ,  gaap  ,  finance"
White Horse Manpower Consultancy P Ltd,2 - 5 yrs,Bengaluru / Bangalore,DescriptionDUTIES AND RESPONSIBILITIES:1. Process and reconcile monthly mortgage loan activity reported by multiple servicers to ensure Master Servicing and sub-servicer compl... ,"Customer Service Executive  ,  inbound  ,  outbound  ,  bpo  ,  kpo  ,  call Center  ,  call Centre  ,  technical Support  ,  csr  ,  tsr  ,"
Citibank India,4 - 7 yrs,Chennai,The Ops Accounting Supervisor provides leadership and supervisory responsibility for a small team of clerical / support employees. Delegates and supervises straightforward tas... ,"accounting analyst  ,  accounting operations  ,  accounting  ,  general ledger  ,  reporting"
PDI Software,2 - 5 yrs,,"Accounting Analyst II NAMER - Managed Services - Temple ,  TX - Full TimePDI Software is looking for an Accounting minded person to join our team in the Temple ,  TX office. O... ","accounting analyst  ,  accounting  ,  reporting  ,  accounts payable  ,  erp  ,  reconciliation  ,  excel  ,  accounts  ,  pricing"
BRITISH TELECOMMUNICATIONS PLC,3 - 6 yrs,,As a Junior Business Controller You will be supporting our small regional based customers at BT Global from finance perspective in close cooperation with our Lead Controllers ... ,"accounting analyst  ,  closing  ,  legal  ,  sox  ,  reporting  ,  dealing  ,  forecasting  ,  management reporting  ,  business controller  ,  variance  ,  accountancy  ,  finance"
Citibank India,0 - 3 yrs,Chennai,Job Purpose:The Supply Chain Invoice Processor is responsible for processing third party invoices on daily bases invoices. The Invoice Processor is assigned to either a single... ,"accounting analyst  ,  invoice processing  ,  accounting  ,  balance sheet  ,  accounts payable  ,  verbal communication  ,  accounting operations  ,  team player  ,  accounts  ,  finance"
AMAZON INDIA PVT LTD,3 - 6 yrs,Bengaluru / Bangalore,"DESCRIPTION Job summaryThe Senior Accounting Analyst will partner with the Global Retail and Finance team  ( based in the US )  to support various analytical ,  planning ,  re... ","accounting analyst  ,  internal control  ,  accounting  ,  oracle financials  ,  closing  ,  audit  ,  reporting  ,  accounts receivable  ,  accounts payable  ,  reconciliation  ,  excel  ,  financial reporting  ,  finance"
Clarivate Analytics,0 - 3 yrs,Hyderabad/Secunderabad,"Clarivate is committed to building ,  nurturing ,  and developing a diverse culture of belonging where new colleagues can bring their authentic self to work every day! Join us... ","erp software  ,  accounting analyst  ,  general accounting  ,  accounting  ,  accounting functions  ,  audit  ,  cost accounting  ,  sox  ,  o2c  ,  balance sheet  ,  sap  ,  issue  ,  tax  ,  p2p  ,  ifrs  ,  excel  ,  audit preparation  ,  gaap  ,  finance  ,  stock exchange"
Citibank India,0 - 3 yrs,Pune,The Fund Accounting Analyst is an senior level processing position responsible for assisting in a variety of fund valuation activities in coordination with the Operations - Tr... ,"accounting  ,  stock  ,  reporting  ,  cfa  ,  collection  ,  finance  ,  fund accounting"
buck global llc,0 - 3 yrs,Chennai,Area of professional exposure  ( functional / technical skills )  :1 )  Exposure to travel and banking industry concepts  /  tools2 )  Experience in handling employees  /  cus... ,"ms office tools  ,  accounting knowledge"
kyndryl india pvt ltd,5 - 8 yrs,"Hyderabad/Secunderabad,  Noida/Greater Noida,  Bengaluru / Bangalore","Located in Bangalore ,  India new positions of Tax Operations Support Analysts have arisen in our soon to be established Tax Center of Excellence missioned with providing crit... ","accounting  ,  direct tax  ,  reporting  ,  tax compliance  ,  tax  ,  excel  ,  tax advisory  ,  tax accounting  ,  income tax  ,  finance  ,  pricing"
Neeraj Recruiters,13 - 18 yrs,"Jhajjar,  Jind,  Kaithal,  Karnal,  Kurukshetra","JOB OPENING!100% VISA WITHIN 30 DAYS!All candidates who are applying must have valid international passport.JOBS AVAILABLE:Accountant ,  Auditor ,  Budget Analyst ,  Bookkeepe... ","Financial Systems Manager  ,  Chartered Accountant  ,  Payroll Coordinator  ,  Accounting Direct  ,   Budget Manager  ,  Credit Analyst  ,  Bookkeeper  ,  Accounts Payable  /  Receivable Clerk"
