product_name,product_price
Revitalizing Cleansing Gel,$9.99
Dual Action Scrub,$9.99
Nourishing Cream,$19.99
Clarifying Toner,$11.99
Glow Facial Oil,$23.99
Strengthening Shampoo,$9.99
Renewal Facial Serum,$23.99
Strengthening Conditioner,$9.99
Gentle Cleansing Lotion,$9.99
Oil-Free Hydrator,$19.99
Baby Gentle Foaming Cleanser,$11.99
Baby Lotion,$11.99
Avocado Hand Cream,$6.99
Almond Hand Cream,$6.99
Almond Body Lotion,$9.99
Almond Body Wash,$9.99
Avocado Body Lotion,$9.99
Avocado Body Wash,$9.99
Moisturizing Shampoo,$9.99
Volumizing Shampoo,$9.99
